Area,Year,Region,SFBB,UFBB,Income
ABERDEENSHIRE,2017,Scotland,72.0,0.0,29434.0
ANGUS,2017,Scotland,68.0,13.0,27529.0
ARGYLL AND BUTE,2017,Scotland,69.0,0.0,24721.0
CITY OF EDINBURGH,2017,Scotland,21.0,72.0,30546.0
DUMFRIES AND GALLOWAY,2017,Scotland,76.0,0.0,24565.0
DUNDEE CITY,2017,Scotland,16.0,82.0,26289.0
EAST AYRSHIRE,2017,Scotland,63.0,28.0,27855.0
EAST DUNBARTONSHIRE,2017,Scotland,91.0,0.0,31949.0
EAST LOTHIAN,2017,Scotland,83.0,0.0,31777.0
EAST RENFREWSHIRE,2017,Scotland,47.0,44.0,36354.0
FALKIRK,2017,Scotland,65.0,29.0,27859.0
FIFE,2017,Scotland,64.0,28.0,27480.0
GLASGOW CITY,2017,Scotland,72.0,21.0,27112.0
HIGHLAND,2017,Scotland,70.0,0.0,28262.0
INVERCLYDE,2017,Scotland,31.0,62.0,28205.0
MIDLOTHIAN,2017,Scotland,84.0,0.0,28141.0
MORAY,2017,Scotland,80.0,0.0,27082.0
NORTH AYRSHIRE,2017,Scotland,69.0,19.0,29234.0
NORTH LANARKSHIRE,2017,Scotland,29.0,66.0,27494.0
ORKNEY ISLANDS,2017,Scotland,58.0,0.0,26529.0
PERTH AND KINROSS,2017,Scotland,47.0,29.0,27907.0
RENFREWSHIRE,2017,Scotland,47.0,43.0,30765.0
SCOTTISH BORDERS,2017,Scotland,74.0,1.0,27081.0
SHETLAND ISLANDS,2017,Scotland,64.0,0.0,31644.0
SOUTH AYRSHIRE,2017,Scotland,48.0,39.0,29505.0
SOUTH LANARKSHIRE,2017,Scotland,35.0,56.0,28743.0
WEST DUNBARTONSHIRE,2017,Scotland,11.0,86.0,26678.0
WEST LOTHIAN,2017,Scotland,62.0,28.0,28034.0
ARUN,2017,South East,93.0,1.0,26535.0
ASHFORD,2017,South East,48.0,37.0,29135.0
BASINGSTOKE AND DEANE,2017,South East,57.0,32.0,33749.0
BRACKNELL FOREST,2017,South East,49.0,44.0,33054.0
